 \textbf{Split} & \textbf{F1  (SD)  Before} & \textbf{F1  (SD)  After} & \textbf{F1  $\Delta$} & \textbf{Joint  Entropy  (SD)  Before} & \textbf{Joint  Entropy  (SD)  After}  \\ 
 Baseline & 68.56  (.006) &  &  & 1.17  (.775) &   \\ 
 All  CRs & 65.67  (.014) & 69.21  (.013) & +3.5 & 1.19  (.753) & 1.09  (.737)  \\ 
 Colour & 65.04  (.015) & 69.56  (.015) & +4.5 & 1.20  (.757) & 1.09  (.741)  \\ 
 Position & 62.95  (.016) & 64.90  (.016) & +2.0 & 1.26  (.778) & 1.21  (.757)  \\ 
 Previous & 82.26  (.033) & 85.82  (.030) & +3.6 & .91  (.720) & .71  (.644)  \\ 
 Property & 63.89  (.046) & 60.44  (.046) & -3.4 & 1.54  (.844) & 1.50  (.838)  \\ 
 Confirmation & 74.12  (.047) & 75.86  (.046) & +1.7 & 1.22  (.874) & 1.16  (.818)  \\ 
 Colour & 70.59  (.036) & 80.37  (.031) & +9.8 & 1.03  (.542) & .79  (.480)  \\ 
 Position & 58.15  (.046) & 56.25  (.047) & -1.9 & 1.27  (.710) & 1.29  (.693)  \\ 
 Visual  Context & 65.08  (.015) & 69.25  (.014) & +4.2 & 1.21  (.763) & 1.10  (.744)  \\ 
 Linguistic  Context & 81.72  (.033) & 84.59  (.030) & +2.9 & .95  (.759) & .75  (.684)  \\ 
 Relational  Context & 62.67  (.016) & 65.01  (.016) & +2.3 & 1.26  (.776) & 1.20  (.754)  \\ 
